pregunta,respuesta_esperada
¿Qué me recomendás hacer primero? ,"Si alguna vez tomaste el Semáforo y tenés tu Mapa de Vida, una buena forma de empezar 
es buscar Soluciones relacionadas con los indicadores que priorizaste o con aquellos que 
están en rojo o amarillo. 
Si no tomaste el Semáforo, podés comenzar explorando temas que suelen preocuparte en 
tu día a día, como la seguridad, el ahorro, el empleo o la salud. El Banco está pensado para 
que puedas empezar desde donde estés."
¿Las Soluciones son gratuitas? ,"Muchas Soluciones son gratuitas. Sin embargo, algunas pueden tener un costo asociado. 
Esta información se muestra en el detalle de cada Solución, para que la persona pueda 
decidir si es adecuada a su situación antes de aplicarla."
¿Qué significa que una Solución sea exclusiva?  ,"Una Solución exclusiva es aquella destinada únicamente a personas asociadas a la 
organización o empresa que la publicó. Por ejemplo, algunos beneficios internos que las 
empresas ofrecen a sus colaboradores se cargan en el Banco para facilitar el acceso, pero 
no están disponibles para el público general."
¿Qué es el Mapa de Vida? ,"El Mapa de Vida funciona como el “panel de control” del Semáforo. Muestra de forma visual 
los indicadores en verde, amarillo y rojo, junto con aquellos que la persona decidió priorizar. 
Además, invita a una reflexión clave a través de preguntas como: por qué estoy en este 
color (o ¿por qué no lo tengo?), qué haré para mejorar y cuánto tiempo me llevará. Este 
proceso ayuda a transformar un deseo de mejora en un plan de acción concreto, 
identificando obstáculos reales pero también pasos posibles y alcanzables. "
"¿Qué significan los colores rojo, amarillo y verde? ","El Semáforo utiliza un sistema de colores simple e intuitivo para que la información sea fácil 
de comprender y usar. El rojo indica una situación crítica (pobreza extrema) que requiere 
atención prioritaria, el amarillo señala un aspecto a mejorar (pobreza) y el verde representa 
una situación adecuada o una fortaleza (no pobreza). Si bien los términos pueden adaptarse 
según el contexto o la organización (por ejemplo, hablar de “fortalezas” en lugar de “no 
pobreza”), la lógica se mantiene: el verde es el objetivo, y el rojo y amarillo marcan áreas 
sobre las que se puede trabajar. "
¿Por qué priorizar indicadores? ,"Porque el Semáforo busca ser una herramienta práctica y accionable, no solo un 
diagnóstico. Priorizar indicadores permite convertir un desafío complejo en pasos 
manejables. En lugar de intentar mejorar todo al mismo tiempo, las personas pueden 
enfocarse en algunos indicadores clave elegidos por ellas mismas, avanzar paso a paso y 
ver resultados concretos que refuerzan la motivación y la sensación de progreso. "
¿Cuántos indicadores se pueden priorizar?,"Depende de cómo esté configurada la encuesta por la organización que implementa el 
Semáforo. Algunas definen un número mínimo de indicadores a priorizar, mientras que otras 
dejan esta decisión completamente en manos de la persona o familia. En términos 
generales, la recomendación del Semáforo es priorizar entre 3 y 5 indicadores, ya que ese 
número suele ser más manejable y permite enfocarse en acciones concretas sin generar 
sobrecarga. De todos modos, la cantidad ideal puede variar según la situación, el momento 
y las capacidades de cada familia, por lo que siempre se busca que la priorización sea 
realista y útil para su proceso de mejora."
¿Por qué el Semáforo mide más que ingresos? ,"Porque el bienestar no depende únicamente del dinero. Tener ingresos es importante, pero 
no garantiza por sí solo una buena calidad de vida. La pobreza es un fenómeno 
multidimensional que incluye aspectos como la salud, la educación, la vivienda, las 
relaciones sociales y la motivación personal. El Semáforo permite mirar la vida de manera 
integral, identificar qué áreas están funcionando bien y cuáles necesitan atención, y así 
diseñar acciones más completas y sostenibles para mejorar la situación de las personas y 
sus familias."
¿Cuántos indicadores tiene el Semáforo? ,"El Semáforo original cuenta con 50 indicadores. Sin embargo, con el tiempo la metodología 
se fue adaptando a distintos países, contextos y poblaciones. Por eso hoy no existe un 
único Semáforo, sino varias versiones ajustadas a cada realidad. Como criterio general, se 
recomienda que cada dimensión cuente al menos con 2 o 3 indicadores, para asegurar una 
medición equilibrada y útil para la acción."
¿Cuáles son los 50 indicadores originales del Semáforo? ,"Dimensión: Ingresos y Empleo 
1. Ingresos por encima de la línea de pobreza. 
2. Ahorros familiares estables. 
3. Acceso a crédito. 
4. Fuentes de ingresos diversificadas. 
5. Cédula de identidad vigente. 
Dimensión: Salud y Medioambiente 
6. Ambiente libre de contaminación 
7. Manejo adecuado de residuos 
8. Acceso a agua potable. 
9. Acceso a servicios de salud. 
10. Alimentación saludable. 
11. Higiene adecuada. 
12. Salud sexual y reproductiva. 
13. Salud dental. 
14. Salud visual. 
15. Vacunas al día. 
16. Seguro de salud. 
Dimensión: Vivienda e Infraestructura 
17. Vivienda segura 
18. Confort del Hogar 
19. Dormitorios separados 
20. Cocina ventilada y segura. 
21. Baño adecuado 
22. Heladera y otros activos 
23. Acceso a teléfono 
24. Vestimenta 
25. Seguridad de la persona 
26. Seguridad de los bienes 
27. Acceso a electricidad 
28. Medios de transporte regulares 
29. Caminos de acceso en buen estado 
Dimensión: Educación y Cultura 
30. Niños escolarizados 
31. Saber leer y escribir 
32. Útiles escolares adecuados 
33. Capacidad de presupuestar 
34. Capacidad de generar ingresos 
35. Acceso a información (TV o Internet). 
36. Entretenimiento y recreación 
37. Respeto por la diversidad 
38. Conocimiento de los Derechos Humanos 
39. Niñez libre de trabajo 
40. Participación de grupos 
41. Influencia en el sector público 
42. Resolución de conflictos 
43. Votar en elecciones 
Dimensión: Interioridad y Motivación 
44. Conciencia de las propias necesidades (Mapa de vida). 
45. Confianza en sí mismo 
46. Conciencia moral 
47. Capacidad emocional y afectiva. 
48. Ausencia de violencia familiar. 
49. Espíritu emprendedor 
50. Autonomía"
¿Qué dice el indicador de Ingresos por encima de la línea de pobreza? ,"Este indicador evalúa si la persona o la familia cuenta con ingresos mensuales suficientes 
para cubrir sus necesidades básicas. Se considera que los ingresos están por encima de la 
línea de pobreza cuando superan los Gs. 897.168 por persona en zonas urbanas o los Gs. 
654.657 por persona en zonas rurales."
